stock
FNAM11
MGLU3
B3SA3
HAPV3
BBDC4
COGN3
IFCM3
ABEV3
PETR4
BBAS3
ITUB4
CIEL3
RENT3
ITSA4
BRFS3
SUZB3
LWSA3
RAIL3
LREN3
CMIN3
CVCB3
CEAB3
PCAR3
PETZ3
VALE3
BEEF3
SOMA3
OIBR3
VVEO3
CPLE6
CMIG4
BPAC11
BBDC3
AMER3
AZUL4
MRVE3
CSNA3
VBBR3
CPLE3
HBSA3
ALPA4
EMBR3
PETR3
ASAI3
CASH3
CSAN3
ALOS3
JBSS3
GGBR4
RAIZ4
RDOR3
ELET3
CCRO3
GOAU4
USIM5
POMO4
UGPA3
MOVI3
GOLL4
QUAL3
ONCO3
PRIO3
CYRE3
VAMO3
SIMH3
TIMS3
TEND3
BOVA11
MULT3
ENGI11
RADL3
SBSP3
BBSE3
MRFG3
SEQL3
BHIA3
KLBN11
IGTI11
CBAV3
ECOR3
DIRR3
XINA11
CRFB3
STBP3
CXSE3
AURE3
NTCO3
RRRP3
EQTL3
GMAT3
BRAP4
ENEV3
WEGE3
AMBP3
SRNA3
YDUQ3
TAEE11
LJQQ3
GGPS3
TOTS3
ARZZ3
ANIM3
SMAL11
SMFT3
INBR32
AESB3
VIVA3
EGIE3
AZEV4
TRPL4
DXCO3
FLRY3
HYPE3
RCSL3
RAPT4
PDGR3
CPFE3
MTRE3
CSED3
CURY3
VIVT3
ODPV3
RECV3
SMTO3
SANB11
CAML3
JHSF3
ROXO34
AERI3
ARML3
SLCE3
MILS3
BRSR6
BPAN4
MLAS3
GUAR3
EZTC3
MYPK3
LUPA3
PSSA3
PLPL3
GRND3
SBFG3
GFSA3
ENAT3
TTEN3
CSMG3
BRKM5
ELET6
KLBN4
POSI3
IRBR3
SEER3
DASA3
SAPR4
GOLD11
SAPR11
KRSA3
BOVV11
ABCB4
PORT3
VLID3
WIZC3
ESPA3
ENJU3
KEPL3
ZAMP3
CLSA3
MXRF11
TSLA34
ALUP11
LIGT3
LAVV3
JSLG3
MATD3
SHUL4
MDIA3
OPCT3
SHOW3
BMOB3
MBLY3
MEAL3
PNVL3
CPTS11
TUPY3
JALL3
NGRD3
PTBL3
SYNE3
FESA4
PGMN3
VULC3
INTB3
MDNE3
TRIS3
ITUB3
NASD11
LEVE3
RANI3
NEOE3
RCSL4
VITT3
TRAD3
PRNR3
EVEN3
BRIT3
HBRE3
GARE11
AZEV3
AGXY3
KNSC11
MELK3
VGIR11
TAEE4
FRAS3
USIM3
RURA11
MELI34
BMGB4
VGIA11
BRBI11
POMO3
KLBN3
AMAR3
NVDC34
SPXS11
MCHY11
GOGL34
WHGR11
UNIP6
HASH11
VGHF11
TASA4
CMIG3
ETER3
ACWI11
XPBR31
BCFF11
AGRO3
BABA34
BBAS3F
SGPS3
TFCO
